route_id,service_id,trip_id,direction_id,shape_id
"003","30_317304","30_752217","1","2531960359"
"003","30_317304","30_752218","1","2531960359"
"003","30_317304","30_752219","1","1441713241"
"003","30_317304","30_752220","1","160306933"
"003","30_317304","30_752221","0","242180996"
"003","30_317304","30_753543","0","1357501477"
"003","30_317304","30_753544","0","1357501477"
"003","30_317304","30_753545","0","1357501477"
"003","30_317304","30_753546","0","1357501477"
"003","30_317304","30_753547","0","1357501477"
"003","30_317304","30_753548","0","1357501477"
"003","30_317304","30_753549","0","1357501477"
"003","30_317304","30_753550","0","1357501477"
"003","30_317304","30_753551","0","1357501477"
"003","30_317304","30_753552","0","1357501477"
"003","30_317304","30_753553","0","1357501477"
"003","30_317304","30_753554","0","1357501477"
"003","30_317304","30_753555","0","1357501477"
"003","30_317304","30_753556","0","1357501477"
"003","30_317304","30_753557","0","3736307640"
"004","30_316728","30_752834","1","2397265513"
"004","30_316728","30_752835","1","2397265513"
"004","30_316728","30_752836","1","2397265513"
"004","30_316728","30_752837","1","2397265513"
"004","30_316728","30_752838","1","2397265513"
"004","30_316728","30_752839","1","2397265513"
"004","30_316728","30_752840","1","2397265513"
"004","30_316728","30_752841","1","2397265513"
"004","30_316728","30_752842","1","1898572595"
"004","30_316728","30_752843","1","1898572595"
"004","30_316728","30_752844","1","1898572595"
"004","30_316728","30_752845","1","1898572595"
"004","30_316728","30_752846","1","1898572595"
"004","30_316728","30_752847","1","1898572595"
"004","30_316728","30_752848","0","94686529"
"004","30_316728","30_752849","0","2306968862"
"004","30_316728","30_752850","0","2155843552"
"004","30_316728","30_752851","0","2306968862"
"004","30_316728","30_752852","1","2977021928"
"004","30_316728","30_752853","1","2749336091"
"004","30_316728","30_752854","1","2977021928"
"004","30_316728","30_752855","1","2977021928"
"004","30_316728","30_752856","1","3702352554"
"004","30_316728","30_752857","1","3702352554"
"004","30_316728","30_752858","1","3702352554"
"004","30_316728","30_752859","1","3702352554"
"004","30_316728","30_752860","1","3392109077"
"004","30_316728","30_752861","1","1492166200"
"004","30_316728","30_752862","1","3392109077"
