service_id,date,exception_type
"30_317563","20141230","1"
"30_317563","20150102","1"
"30_317563","20150105","1"
"30_317563","20150107","1"
"30_317563","20150217","1"
"30_317563","20150402","1"
"30_317563","20150403","1"
"30_317563","20150407","1"
"30_317563","20151222","1"
"30_317563","20151223","1"
"30_317563","20151228","1"
"30_317563","20151229","1"
"30_317563","20151230","1"
"30_317564","20141210","1"
"30_317564","20141211","1"
"30_317564","20141212","1"
"30_317564","20141213","1"
"30_317564","20141215","1"
"30_317564","20141216","1"
"30_317564","20141217","1"
"30_317564","20141218","1"
"30_317564","20141219","1"
"30_317564","20141220","1"
"30_317564","20150108","1"
"30_317564","20150109","1"
"30_317564","20150110","1"
"30_317564","20150112","1"
"30_317564","20150113","1"
"30_317564","20150114","1"
"30_317564","20150115","1"
"30_317564","20150116","1"
"30_317564","20150117","1"
"30_317564","20150119","1"
"30_317564","20150120","1"
"30_317564","20150121","1"
"30_317564","20150122","1"
"30_317564","20150123","1"
"30_317564","20150124","1"
"30_317564","20150126","1"
"30_317564","20150127","1"
"30_317564","20150128","1"
"30_317564","20150129","1"
"30_317564","20150130","1"
"30_317564","20150131","1"
"30_317564","20150202","1"
"30_317564","20150203","1"
"30_317564","20150204","1"
"30_317564","20150205","1"
"30_317564","20150206","1"
"30_317564","20150207","1"
"30_317564","20150209","1"
"30_317564","20150210","1"
"30_317564","20150211","1"
"30_317564","20150212","1"
"30_317564","20150213","1"
"30_317564","20150214","1"
"30_317564","20150216","1"
"30_317564","20150218","1"
"30_317564","20150219","1"
"30_317564","20150220","1"
"30_317564","20150221","1"
"30_317564","20150223","1"
"30_317564","20150224","1"
"30_317564","20150225","1"
"30_317564","20150226","1"
"30_317564","20150227","1"
"30_317564","20150228","1"
"30_317564","20150302","1"
"30_317564","20150303","1"
"30_317564","20150304","1"
"30_317564","20150305","1"
"30_317564","20150306","1"
"30_317564","20150307","1"
"30_317564","20150309","1"
"30_317564","20150310","1"
"30_317564","20150311","1"
"30_317564","20150312","1"
"30_317564","20150313","1"
"30_317564","20150314","1"
"30_317564","20150316","1"
"30_317564","20150317","1"
"30_317564","20150318","1"
"30_317564","20150319","1"
"30_317564","20150320","1"
"30_317564","20150321","1"
"30_317564","20150323","1"
"30_317564","20150324","1"
"30_317564","20150325","1"
"30_317564","20150326","1"
"30_317564","20150327","1"
"30_317564","20150328","1"
"30_317564","20150330","1"
"30_317564","20150331","1"
"30_317564","20150401","1"
"30_317564","20150408","1"
"30_317564","20150409","1"
"30_317564","20150410","1"
"30_317564","20150411","1"
"30_317564","20150413","1"
"30_317564","20150414","1"
"30_317564","20150415","1"
"30_317564","20150416","1"
"30_317564","20150417","1"
"30_317564","20150418","1"
"30_317564","20150420","1"
"30_317564","20150421","1"
"30_317564","20150422","1"
"30_317564","20150423","1"
"30_317564","20150424","1"
"30_317564","20150427","1"
"30_317564","20150428","1"
"30_317564","20150429","1"
"30_317564","20150430","1"
"30_317564","20150502","1"
"30_317564","20150504","1"
"30_317564","20150505","1"
"30_317564","20150506","1"
"30_317564","20150507","1"
"30_317564","20150508","1"
"30_317564","20150509","1"
"30_317564","20150511","1"
"30_317564","20150512","1"
"30_317564","20150513","1"
"30_317564","20150514","1"
"30_317564","20150515","1"
"30_317564","20150516","1"
"30_317564","20150518","1"
"30_317564","20150519","1"
"30_317564","20150520","1"
"30_317564","20150521","1"
"30_317564","20150522","1"
"30_317564","20150523","1"
"30_317564","20150525","1"
"30_317564","20150526","1"
"30_317564","20150527","1"
